Country,diesel,diesel-electric,e85,electric,hydrogen,lpg,ng,petrol,petrol-electric
Austria,70363.0,1022.0,,33276.0,14.0,1.0,85.0,120689.0,13590.0
Belgium,97002.0,5118.0,,23063.0,1.0,3259.0,1191.0,230210.0,48042.0
Croatia,13375.0,61.0,,1346.0,,1992.0,,28190.0,556.0
Cyprus,1867.0,3.0,,56.0,,,,8525.0,28.0
Czechia,50878.0,411.0,,2630.0,9.0,2257.0,837.0,140665.0,3343.0
Denmark,22734.0,832.0,,24543.0,76.0,,,95627.0,36899.0
Estonia,5005.0,10.0,,485.0,1.0,233.0,466.0,15900.0,217.0
Finland,7367.0,616.0,12.0,10120.0,1.0,,908.0,56597.0,19508.0
France,435792.0,7234.0,5970.0,168877.0,61.0,46414.0,473.0,977189.0,135868.0
Germany,579825.0,23540.0,40.0,355963.0,9.0,10081.0,3913.0,1255286.0,301471.0
Greece,18307.0,268.0,,2160.0,,2071.0,1349.0,71588.0,4518.0
Hungary,25296.0,519.0,,4060.0,1.0,594.0,7.0,81237.0,3527.0
Iceland,1446.0,404.0,,3468.0,3.0,,4.0,2998.0,4034.0
Ireland,37169.0,269.0,,8652.0,,311.0,,50210.0,7728.0
Italy,379132.0,4540.0,,67161.0,10.0,106923.0,31389.0,804089.0,63228.0
Latvia,3681.0,,,411.0,,260.0,19.0,9662.0,136.0
Lithuania,4464.0,2.0,,1149.0,,308.0,,24617.0,396.0
Luxembourg,12325.0,617.0,,4635.0,,15.0,2.0,19853.0,3502.0
Malta,479.0,4.0,,398.0,,13.0,,3445.0,615.0
Netherlands,3994.0,199.0,,63153.0,122.0,2224.0,28.0,215201.0,30550.0
Norway,6963.0,1572.0,,113446.0,36.0,,,17239.0,36596.0
Poland,73867.0,484.0,,5312.0,74.0,14534.0,6.0,334206.0,10244.0
Portugal,35552.0,2109.0,,13357.0,3.0,3520.0,31.0,78001.0,13562.0
Romania,23853.0,152.0,,6341.0,,15953.0,,72072.0,2713.0
Slovakia,17882.0,,,1114.0,1.0,984.0,234.0,54969.0,457.0
Slovenia,13010.0,15.0,,1697.0,,550.0,16.0,36084.0,511.0
Spain,255619.0,1472.0,,24051.0,9.0,10795.0,4337.0,585695.0,26324.0
Sweden,43615.0,3978.0,1215.0,57246.0,16.0,,1494.0,114103.0,73746.0
United Kingdom,,,,,,,,,
EU Total,2240862.0,55451.0,7237.0,998170.0,447.0,223292.0,46789.0,5504147.0,841909.0
